injury_notes,injury_body_part,sport,injury_status,player_id,rotoworld_id,search_full_name,years_exp,fantasy_positions,search_rank,number,practice_participation,team,last_name,weight,birth_state,status,pandascore_id,depth_chart_order,position,stats_id,rotowire_id,first_name,college,high_school,search_last_name,gsis_id,sportradar_id,birth_city,fantasy_data_id,swish_id,birth_date,news_updated,metadata,search_first_name,hashtag,active,depth_chart_position,espn_id,yahoo_id,birth_country,full_name,practice_description,age,height,injury_start_date
,,nfl,,2103,,codybooth,1,['OL'],9999999,60,,,Booth,285,,Inactive,,,OT,,9866,Cody,Temple,,booth,,4cd4976e-e230-4935-ad3f-c12876a41350,,16426,,1991-04-22,,,cody,#codybooth-NFL-FA-60,False,,17054,27841,,Cody Booth,,27,"6'5""",
,,nfl,NA,6250,,eurndrausbryant,0,['DL'],9999999,0,,,Bryant,330,,Inactive,,,DT,,,Eurndraus,North Carolina State,Fort Dorchester,bryant,,9ff46edb-988f-4c8a-ad56-0502808ca1a6,,21183,,,,,eurndraus,#eurndrausbryant-NFL-FA-0,False,,3916426,32538,,Eurndraus Bryant,,,73,
,,nfl,,4116,12247,antoniogarcia,5,['OL'],9999999,0,,,Garcia,302,,Inactive,,,OT,,11794,Antonio,Troy,Charles Drew (GA),garcia,00-0033922,a2b6e1f9-1f06-45e3-b6e9-79ec8490e5ef,,18962,,1993-12-10,1560221750273,,antonio,#antoniogarcia-NFL-FA-0,False,,2972820,30198,,Antonio Garcia,,28,79,
,,nfl,,8465,,spencerburford,0,['OL'],9999999,74,,SF,Burford,300,,Active,,,OL,,16062,Spencer,UTSA,Wagner (TX),burford,,129815b7-f914-4155-b8e3-e93021670dd7,,,1123542,2000-07-19,1651342520523,,spencer,#spencerburford-NFL-SF-74,True,,,,,Spencer Burford,,21,77,
,,nfl,,6177,,khalensaunders,3,['DL'],9999999,99,,KC,Saunders,324,,Active,,3,DT,,13746,Khalen,Western Illinois,Parkway Central (MO),saunders, 00-0035656,757c55e1-2f3a-41d2-a211-16bf577a1586,,20934,831799,1996-08-09,1643570432730,,khalen,#khalensaunders-NFL-KC-99,True,RDT,3121634,31916,,Khalen Saunders,,25,72,
,,nfl,,5870,13963,danieljones,3,['QB'],216,8,,NYG,Jones,230,,Active,,1,QB,879981,13491,Daniel,Duke,Charlotte Latin (NC),jones, 00-0035710,0042266b-cb28-4012-bfd2-06650badad97,,20841,879981,1997-05-27,1653020117325,,daniel,#danieljones-NFL-NYG-8,True,QB,3917792,31838,,Daniel Jones,,25,77,
,,nfl,,4297,,jarnorjones,5,['LB'],9999999,0,,,Jones,210,,Active,,,ILB,,,Jarnor,Iowa State,Martin Luther King (GA),jones,,508a854c-2fc5-47e1-9376-0151f45963c1,,19145,,1994-04-29,,,jarnor,#jarnorjones-NFL-FA-0,True,,3892776,30454,,Jarnor Jones,,27,75,
,,nfl,,1347,,chrisgragg,7,['TE'],9999999,87,,,Gragg,244,,Inactive,,,TE,465638,8788,Chris,Arkansas,Warren (AR),gragg,,36521d92-2c2c-4ae4-9b60-9928c3167e30,,14866,,1990-06-30,,,chris,#chrisgragg-NFL-FA-87,False,,15940,26845,,Chris Gragg,,30,"6'3""",
,,nfl,,5381,,johnnytownsend,4,['P'],9999999,0,,,Townsend,194,,Active,,,P,748627,12777,Johnny,Florida,Boone (FL),townsend,00-0034684,2eb0706c-3017-4895-a207-71d6fe9e1549,,19995,748627,1995-02-14,1565823938203,,johnny,#johnnytownsend-NFL-FA-0,True,,3054971,31143,,Johnny Townsend,,26,73,
,,nfl,,1023,6478,mikepouncey,11,['OL'],9999999,0,,,Pouncey,298,,Injured Reserve,,,C,,7548,Mike,Florida,Lakeland (FL),pouncey,00-0027953,041c36ad-0d7d-4ed1-8157-95092b3027a4,,13698,,1989-07-24,1613154322971,,mike,#mikepouncey-NFL-FA-0,True,,13974,24802,,Mike Pouncey,,32,77,
,,nfl,,5300,,kennyyoung,4,['LB'],9999999,53,,LV,Young,235,,Active,,3,LB,,12689,Kenny,UCLA,John Curtis Christian (LA),young,00-0034266,13a9ad48-6886-4390-b2d8-9c79cda111d1,,19926,840802,1994-11-15,1652193653248,,kenny,#kennyyoung-NFL-LV-53,True,RILB,3134310,31092,,Kenny Young,,27,73,
,,nfl,,7328,,asmarbilal,2,['LB'],9999999,0,,,Bilal,230,,Active,,,LB,,15017,Asmar,Notre Dame,Ben Davis (IN),bilal,,621e177a-e23d-489e-a747-369eb662f0de,,22320,884552,1997-04-12,1637720145101,,asmar,#asmarbilal-NFL-FA-0,True,,3932422,32974,,Asmar Bilal,,24,74,
,,nfl,,608,5886,coreypeters,12,['DL'],9999999,98,,,Peters,335,,Active,,,DT,,6682,Corey,Kentucky,Central (KY),peters,00-0027686,a50e3085-370b-4fd2-b79a-28d3b9c5c1c7,,11437,333992,1988-06-08,1637525717671,,corey,#coreypeters-NFL-FA-98,True,,13292,24058,,Corey Peters,,33,75,
,,nfl,,3925,,leehightower,6,['DB'],9999999,0,,,Hightower,200,,Active,,,FS,,11626,Lee,Houston,Loyola (CA),hightower,,2ac6848d-1482-4a1b-b4ee-886ccaef270d,,18754,,1993-07-28,,,lee,#leehightower-NFL-FA-0,True,,2573308,30053,,Lee Hightower,,28,74,
,,nfl,,3396,11410,charonepeake,6,['WR'],1042,17,,,Peake,209,,Inactive,,,WR,602104,11001,Charone,Clemson,Dorman (SC),peake,00-0032959,58ea6518-6fb7-4e5a-a586-7202d4c5f07e,,18157,,1992-10-16,1588021862005,,charone,#charonepeake-NFL-FA-17,False,,2576498,29475,,Charone Peake,,29,74,
,,nfl,,3956,,kelvinfisherjr,0,,9999999,8,,,Fisher Jr,200,,Inactive,,,,,,Kelvin,None,,fisherjr,,,,18789,,,,,kelvin,#kelvinfisherjr-NFL-FA-8,False,,2574518,,,Kelvin Fisher Jr,,,"5'11""",
,,nfl,,6343,,mannywilkins,3,['QB'],9999999,18,,,Wilkins,193,,Active,,,QB,820627,13968,Manny,Arizona State,San Marin,wilkins, 00-0035077,941662f4-da41-48cf-a663-cfbd011491bb,,21260,,1995-11-05,1588023962396,,manny,#mannywilkins-NFL-FA-18,True,,3128814,32282,,Manny Wilkins,,26,74,
