user_id,total_moves,season_points,wins,points_standing,season_standing,league_id
234466643298742272,0,3416,21.0,1.0,1,737827735526850560
82654720262815744,0,2906,8.0,6.0,7,737827735526850560
599654522356285440,0,2811,10.0,7.0,6,737827735526850560
585224507187302400,0,3121,14.0,4.0,5,737827735526850560
547296901040750592,0,3168,16.0,2.0,2,737827735526850560
360184892002455552,0,3031,15.0,5.0,4,737827735526850560
82656541224091648,0,2659,5.0,8.0,8,737827735526850560
651870314749333504,0,3125,15.0,3.0,3,737827735526850560
196801931073556480,0,2195,7.0,3.0,5,733376903087538176
469214890041536512,0,1983,3.0,12.0,12,733376903087538176
432614987849015296,0,2037,6.0,11.0,9,733376903087538176
452979859501608960,0,2313,12.0,1.0,1,733376903087538176
432004004482920448,0,2176,8.0,5.0,3,733376903087538176
454419518475726848,0,2154,8.0,9.0,4,733376903087538176
432001192432771072,0,2175,5.0,6.0,10,733376903087538176
438719542152130560,0,2162,5.0,8.0,11,733376903087538176
469558402347954176,0,2187,6.0,4.0,8,733376903087538176
443583722256592896,0,2078,7.0,10.0,7,733376903087538176
472783690456363008,0,2227,10.0,2.0,2,733376903087538176
484084613677838336,0,2164,7.0,7.0,6,733376903087538176
431555604037767168,0,1560,9.0,5.0,5,650040143515860992
467057985164668928,0,1675,9.0,1.0,3,650040143515860992
467070219345457152,0,1371,5.0,9.0,10,650040143515860992
575153375400378368,0,1505,10.0,6.0,2,650040143515860992
575208463839875072,0,1231,2.0,11.0,12,650040143515860992
741880577183326208,0,1632,9.0,2.0,4,650040143515860992
575364271073140736,0,1585,8.0,4.0,6,650040143515860992
595708984246202368,0,1343,6.0,10.0,8,650040143515860992
597543773274169344,0,1594,12.0,3.0,1,650040143515860992
597991614002032640,0,1423,6.0,8.0,7,650040143515860992
607644908215402496,0,1139,3.0,12.0,11,650040143515860992
600901285234929664,0,1442,5.0,7.0,9,650040143515860992
592810507145101312,0,1468,6.0,8.0,8,726148550408409088
474628731403497472,0,1480,8.0,7.0,5,726148550408409088
469907403442221056,0,1419,6.0,9.0,9,726148550408409088
474671643130589184,0,1418,5.0,10.0,10,726148550408409088
593164130819559424,0,1668,10.0,1.0,1,726148550408409088
593216781691174912,0,1488,6.0,6.0,7,726148550408409088
593641917707771904,0,1370,5.0,11.0,11,726148550408409088
595727046940876800,0,1530,8.0,5.0,4,726148550408409088
359888137826279424,0,1213,4.0,12.0,12,726148550408409088
603074892274925568,0,1641,9.0,3.0,3,726148550408409088
603729453880774656,0,1582,7.0,4.0,6,726148550408409088
738241484574314496,0,1657,10.0,2.0,2,726148550408409088
80693321353543680,0,1577,6.5,6.0,7,699774005271433216
471899559203696640,0,1578,7.0,5.0,5,699774005271433216
181527262569840640,0,1621,6.5,3.0,6,699774005271433216
445013861100154880,0,1440,4.0,9.0,9,699774005271433216
461655079376646144,0,1307,3.0,10.0,10,699774005271433216
738768807316885504,0,1559,8.0,7.0,4,699774005271433216
76776855730274304,0,1730,11.0,1.0,1,699774005271433216
604785875347382272,0,1553,10.0,8.0,3,699774005271433216
474388438032838656,0,1658,10.0,2.0,2,699774005271433216
336580310600777728,0,1589,4.0,4.0,8,699774005271433216
342775158378868736,0,1646,10.0,6.0,2,736645420696145920
467178442354323456,0,1630,8.0,7.0,5,736645420696145920
401086734277857280,0,1547,5.0,10.0,10,736645420696145920
467173468144660480,0,1665,8.0,5.0,4,736645420696145920
736652733683273728,0,1591,8.0,8.0,6,736645420696145920
468900278742020096,0,1585,7.0,9.0,8,736645420696145920
404386940977184768,0,1722,6.0,3.0,9,736645420696145920
467530786447290368,0,1775,9.0,1.0,3,736645420696145920
736741184017408000,0,1419,4.0,12.0,11,736645420696145920
404392820367953920,0,1770,7.0,2.0,7,736645420696145920
471348638291849216,0,1434,2.0,11.0,12,736645420696145920
736986039259918336,0,1683,10.0,4.0,1,736645420696145920
399552592264310784,0,2233,8.0,5.0,6,731722211479646208
607410694756864000,0,1787,3.0,11.0,12,731722211479646208
437008506260811776,0,1866,3.0,10.0,11,731722211479646208
399537269641330688,0,2260,10.0,4.0,2,731722211479646208
678351165263540224,0,1964,4.0,9.0,9,731722211479646208
731731955858661376,0,2359,8.0,1.0,5,731722211479646208
